EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
777 1721155 112 779 1137
19 52018 119 1 21
6 17814 113 1 6
13 31960 119 2 15
14 38432 119 1 16
3 2229 117 1 2
3 18089 118 1 5
3 2054 116 1 2
3 17765 117 1 5
3 2699 114 1 3
4 17486 114 1 5
3 1978 114 1 2
7 30146 117 2 11
5 17634 115 1 5
4 17728 118 1 5
4 2174 116 1 3
3 1684 118 1 2
3 1647 118 1 2
4 2007 116 1 2
4 2213 117 1 2
4 1919 116 1 2
4 1802 117 1 1
6 24202 117 1 8
4 18458 125 5 9
4 2139 119 2 3
6 1653 123 1 2
3 1803 119 1 2
5 1830 119 1 2
41 18895 121 1 54
3 17395 119 1 4
3 44948 122 1 3
4 13278 119 1 2
4 13267 119 1 2
112 211171 124 1 191
5 7126 125 1 5
4 6924 120 1 5
4 7808 119 2 2
113 210402 123 1 176
5 13910 122 1 8
5 9324 124 1 3
99 222627 123 2 165
6 13123 123 1 5
5 12680 120 1 5
33 98755 127 1 47
5 16893 120 1 6
5 3673 120 1 2
26 74066 124 1 13
22 55134 123 1 27
12 37409 121 1 5
8 30672 119 1 17
6 2039 121 1 3
9 26112 120 1 9
4 2026 121 1 2
11 33965 125 2 8
9 32874 124 1 5
8 30424 122 1 5
8 30467 125 1 5
5 20918 122 1 5
4 2010 121 1 2
3 2058 124 0 2
4 2645 122 1 2
4 2731 122 1 3
2 20763 124 1 10
7 2966 124 1 2
4 2081 123 0 2
4 21143 126 1 6
7 18594 127 1 6
4 2319 123 1 2
4 2296 121 1 2
4 17647 125 1 6
5 2128 127 1 2
5 2751 125 1 3
3 1923 127 1 2
3 1968 123 1 2
4 2372 123 1 3
11 29659 126 1 17
3 2905 125 1 3
3 17735 126 1 5
3 2539 123 1 2
4 17643 124 1 4
3 2381 121 1 1
7 28538 125 2 15
3 2211 127 1 2
2 2287 126 1 2
3 2266 125 1 2
2 2083 127 1 1
3 1936 123 1 3
4 2469 126 2 3
3 17569 126 1 5
4 1974 125 1 2
4 1886 125 1 2
4 2179 124 1 3
3 1741 125 1 2
4 2149 128 1 2
6 2447 125 1 2
3 18335 126 1 5
7 27752 128 1 10
5 17344 123 1 5
6 2174 127 1 2
3 2506 126 1 7
4 2175 126 1 3
4 2171 127 1 2
3 1729 125 1 2
9 17525 126 1 10
6 1523 128 0 0
3 1718 124 1 2
3 2014 126 1 2
4 2251 125 1 2
3 2342 127 1 2
11 17350 132 1 10
15 19259 127 1 9
3 17628 130 1 5
7 2124 126 1 2
4 1888 126 1 2
6 2288 125 1 2
4 1630 126 1 2
4 1681 123 1 2
4 1692 127 1 2
13 17522 128 1 9
6 1707 125 1 2
5 1351 128 0 1
4 1289 128 0 1
3 1578 126 1 2
3 2341 128 1 3
4 2494 130 1 3
6 17718 127 1 7
6 1931 127 1 2
4 1606 126 1 2
3 1855 127 1 2
3 2711 127 1 3
5 17135 126 1 9
4 2120 126 1 7
5 1705 126 1 2
5 1675 130 1 2
5 2657 128 1 3
4 1671 130 1 2
4 1706 125 1 2
3 2646 126 1 3
8 27238 127 1 19
7 3021 127 1 3
7 2205 125 1 3
5 1890 126 1 2
4 1764 132 1 2
4 1867 131 1 3
4 1899 136 1 1
5 2304 128 2 3
8 1785 127 1 3
5 1684 126 1 2
6 1275 125 0 1
4 1669 128 1 2
7 17621 132 1 10
6 1342 128 0 1
4 1265 125 0 1
8 17440 127 1 5
5 22745 127 2 6
14 39670 137 1 10
8 18132 133 1 6
8 25099 129 2 7
6 19218 142 1 4
3 1828 129 1 2
7 24049 132 1 8
3 2172 130 1 5
4 17056 127 1 5
4 2056 129 1 2
3 2111 143 1 3
3 2082 128 1 2
4 16756 128 1 4
4 1718 128 1 2
4 16702 131 1 4
4 1831 131 1 3
3 1963 128 1 2
12 17151 132 1 7
26 47598 146 1 9
6 2067 132 1 3
12 27736 144 1 17
74 149950 148 1 18
7 20642 138 1 5
6 2987 138 1 6
17 21761 137 1 9
5 3925 133 1 22
5 5792 136 1 8
19 20305 133 1 30
37 104217 144 1 17
12 38457 134 1 66
7 22836 133 1 6
13 30395 135 1 14
7 15371 134 1 6
48 112823 143 1 79
5 13941 134 1 5
63 136180 167 1 85
11 31162 141 1 5
4 13755 142 1 5
3 1861 141 1 2
4 13114 141 1 5
11 26419 152 1 6
14 31650 150 1 14
81 161217 158 1 112
4 9505 148 1 3
5 19594 160 1 6
38 97795 149 1 6
5 19485 151 1 5
4 16686 146 1 5
4 17303 147 1 10
6 23953 148 1 18
3 6632 147 1 7
7 4688 146 1 2
6 18958 145 1 7
3 13926 145 1 5
6 20426 147 1 5
3 3863 148 1 2
3 2179 146 1 5
2 20282 144 1 7
4 2740 144 1 2
