EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
289 204767 25 300 331
101 24980 43 51 4
55 20225 44 32 3
53 19777 50 41 3
83 21190 43 34 3
52 22357 45 34 3
54 22694 43 33 3
53 22079 43 33 2
51 22759 46 34 3
52 23175 45 39 3
55 23681 46 34 3
52 23382 42 32 2
50 23516 44 33 1
47 23725 44 33 2
48 24400 44 34 2
46 24891 47 34 2
50 25493 48 33 3
49 25632 52 36 2
50 26319 48 33 2
47 26451 49 34 3
51 26886 48 34 2
47 26851 49 34 2
50 27284 48 34 3
46 27247 49 33 2
45 27454 47 32 2
46 22937 49 32 1
45 23341 47 32 1
45 22328 50 34 1
43 22676 49 33 1
42 22624 50 33 1
44 22953 67 32 1
43 23225 52 33 2
43 23329 54 33 2
41 23103 53 32 1
41 24008 52 33 1
42 24175 51 33 1
42 24489 52 32 1
41 24392 76 33 1
39 25330 53 33 1
40 25039 54 33 1
39 25260 53 33 1
39 24721 56 33 1
40 25038 54 33 1
38 24461 56 33 1
39 24541 56 33 2
39 24665 64 42 2
47 25102 57 34 4
41 24330 56 33 1
37 24740 54 33 1
41 24916 61 35 2
37 28083 61 38 3
40 27283 60 36 2
40 26168 60 34 3
39 24834 58 34 2
37 24886 58 34 1
36 24481 59 33 1
35 24678 59 34 1
36 24301 59 33 1
34 24487 58 34 1
33 24329 60 33 1
34 24519 60 33 1
33 24334 59 33 2
33 25559 62 34 2
34 24352 61 34 2
33 24552 67 34 1
32 24347 62 33 1
32 24610 64 34 1
32 24689 65 34 1
32 24564 64 34 1
30 24191 66 33 1
31 24441 64 34 1
30 24113 65 34 1
29 24657 67 33 1
29 24116 67 34 2
30 24387 66 34 1
29 23961 66 35 6
29 24227 68 34 1
27 23735 68 35 1
28 24043 68 35 1
26 23562 68 35 5
26 23868 67 34 1
27 23423 69 34 1
27 23536 70 33 1
27 23066 70 34 1
26 23368 71 35 2
25 23068 70 34 1
24 23231 71 33 1
25 22631 72 32 1
25 23919 74 35 2
26 23038 74 32 2
24 22713 71 31 1
24 22109 72 31 1
22 22283 72 31 1
23 21825 72 30 1
23 22125 77 31 2
22 22896 77 31 2
23 23655 80 34 8
25 22202 77 30 2
22 22024 79 30 1
21 21674 79 30 1
21 21720 78 30 2
20 21296 80 29 2
31 21393 80 29 1
20 20121 81 26 1
19 20067 79 27 1
18 19279 78 25 1
18 19889 79 26 2
18 18976 80 25 1
18 18878 79 25 1
17 18330 80 24 1
16 18632 79 24 1
16 17959 91 23 1
16 17880 80 23 1
15 17222 80 23 1
15 17358 81 22 1
15 16664 88 21 1
14 16813 81 21 1
14 16153 83 21 1
14 16227 83 20 1
13 15503 85 20 1
13 15719 84 20 1
12 15004 83 20 1
12 15136 85 20 1
12 14360 84 22 1
12 14435 84 19 1
11 13814 85 18 1
11 13747 87 18 1
10 13949 88 19 2
11 13360 90 18 2
10 12346 91 17 1
9 12391 91 16 1
8 11673 92 16 1
8 11673 91 16 1
8 10874 91 15 1
8 10915 92 15 1
7 10173 93 14 1
7 10236 91 14 1
7 9311 92 14 1
6 10138 95 22 2
7 8863 93 13 1
6 8668 92 13 1
5 7826 94 12 1
5 7688 94 12 1
4 6770 95 11 1
4 6824 95 11 1
3 5900 96 10 1
3 5894 95 10 1
2 4892 96 9 1
3 4916 97 9 1
2 4002 98 7 1
2 858 97 1 1
3 843 98 1 1
3 835 99 0 1
3 967 97 1 1
4 870 97 1 1
4 883 97 1 1
4 888 98 1 6
4 907 114 1 1
5 917 98 1 1
5 1083 97 1 2
6 901 101 1 1
6 934 97 1 1
6 890 97 1 1
6 870 97 1 1
6 850 99 1 1
7 853 96 0 1
7 830 97 1 1
8 813 97 0 1
7 775 100 1 1
7 774 97 1 1
8 753 96 1 1
8 1015 98 1 3
9 684 98 1 1
9 687 97 1 1
9 702 96 1 1
