EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
568 1797703 130 830 1187
581 13359 125 8 6
308 29346 123 43 850
6 1924 122 9 7
3 1789 121 9 6
3 15934 125 8 6
4 15262 125 1 2
5 1363 126 1 1
4 15430 125 1 2
4 1403 131 1 2
3 15868 129 1 3
310 33153 152 45 963
307 45311 138 45 875
9 3137 136 10 9
6 2737 195 11 9
4 2618 133 9 7
5 2466 145 10 7
4 17093 133 1 2
6 1588 134 1 2
4 2068 135 1 3
4 23036 129 6 14
303 55900 137 39 1007
8 2884 133 9 6
5 16133 132 1 3
4 15986 130 9 5
4 56181 129 34 801
7 2041 125 1 3
3 1619 129 1 2
4 16495 128 10 7
4 2791 125 8 6
3 2701 127 8 5
4 1626 132 1 2
3 14930 128 1 2
4 14817 131 1 2
281 90105 134 40 774
9 4292 140 13 13
7 4176 129 12 16
6 23627 135 12 14
6 23406 130 12 14
5 21220 134 11 10
5 21369 129 11 10
5 19253 130 10 8
4 19404 133 11 8
3 17381 133 9 6
4 17178 135 9 6
5 15324 133 1 3
5 15186 132 1 2
4 15419 135 1 3
4 15273 132 1 2
276 140669 140 73 750
258 128625 152 43 965
14 8576 148 20 36
276 157120 150 43 758
19 41890 144 21 28
6 9969 140 1 2
5 10600 146 1 3
7 21572 142 14 14
4 18234 146 10 6
7 17606 152 1 3
7 3719 148 1 2
5 3633 139 1 3
4 2971 146 1 3
5 2122 146 1 2
4 2321 144 1 3
4 2477 145 1 2
6 17414 150 1 2
6 1689 147 1 2
6 1930 145 1 3
4 2898 146 1 2
5 1786 144 1 2
6 1742 144 1 2
4 1785 145 1 2
11 30378 150 18 23
4 19678 151 11 9
8 1925 145 1 2
7 18171 157 1 3
8 2144 151 1 3
7 1746 146 1 2
5 2192 148 1 3
5 1770 142 1 2
5 1722 146 1 2
7 1703 145 1 2
9 27419 151 16 17
10 17174 142 1 3
7 1694 140 1 2
6 1670 143 1 2
6 24012 144 1 4
7 1655 141 1 2
5 1630 140 1 2
5 2053 144 1 2
5 1648 141 1 2
5 1572 139 1 2
3 28975 140 14 15
15 2634 144 1 2
6 2381 143 1 3
3 18618 146 10 6
3 18276 145 9 7
4 2342 148 1 2
4 2179 146 1 2
8 18624 142 10 6
10 1812 142 1 3
6 1651 141 1 1
5 1879 141 1 2
7 18168 142 10 7
11 1853 143 1 1
7 1875 149 1 2
3 1626 142 1 2
3 1582 140 1 2
3 1718 143 1 2
7 17970 143 10 7
12 2145 141 1 2
6 1620 141 1 2
7 18076 146 10 8
25 2185 143 1 3
5 1805 141 1 2
9 1636 144 1 2
4 1592 141 1 1
4 1639 143 1 2
4 2432 146 1 2
3 2721 143 1 3
12 1730 141 1 2
5 2060 147 1 3
7 1605 142 1 2
4 1626 144 1 1
4 1595 141 1 2
8 23766 144 11 10
3 1813 143 1 2
4 2220 142 1 2
8 21771 142 11 9
10 1768 141 1 2
2 1672 143 1 2
3 1946 144 1 2
3 21543 143 1 2
3 16423 144 1 3
3 5155 145 11 4
12 1955 141 1 2
8 4317 145 10 8
4 2680 145 1 3
4 1636 144 0 1
13 2036 154 1 2
4 17761 146 1 2
9 4806 139 10 6
4 1675 150 1 3
11 15459 152 1 2
12 15237 152 1 2
10 4467 143 10 7
4 1646 144 1 2
13 17706 151 1 2
15 4189 156 11 7
3 1788 144 1 2
3 19764 154 11 7
3 3822 146 10 6
3 2112 148 1 2
5 1696 145 1 2
6 4431 143 10 7
2 2078 145 1 2
2 28429 149 1 3
9 4196 148 10 7
4 3989 143 9 6
4 20150 151 1 4
3 1633 143 1 2
4 5519 153 11 5
4 5311 150 10 6
258 200843 186 47 756
7 7199 168 13 10
5 5856 153 11 8
6 20243 162 11 7
5 15855 172 1 2
5 15759 158 1 2
5 24463 167 1 4
6 2122 153 1 3
4 20146 158 13 6
9 19653 174 11 6
5 2253 156 1 2
4 6093 152 10 5
4 16113 157 1 3
6 6109 159 12 8
7 16079 163 1 3
257 215852 178 36 721
10 6950 159 11 7
6 6313 158 10 6
6 16197 160 1 3
251 217177 167 43 680
233 207640 166 34 651
10 7086 152 10 7
5 6483 146 10 6
4 2564 148 1 2
3 6350 146 10 6
8 31239 155 15 13
8 7313 154 11 8
5 1836 150 1 2
6 7397 146 10 6
4 15235 148 1 2
5 15234 153 1 2
232 237036 177 39 649
8 7546 164 11 6
19 20187 152 17 39
16 56713 164 23 50
16 51670 159 19 30
13 48726 165 20 30
5 20627 160 10 6
4 19388 156 11 6
4 14227 151 1 3
4 2056 154 1 3
7 33512 154 14 16
8 32830 161 15 17
17 41993 157 22 32
3 2999 152 1 3
8 2498 149 1 2
4 2103 157 1 2
6 19958 165 13 7
4 1882 158 1 2
5 20366 162 12 8
8 2254 154 1 3
7 2178 159 1 2
4 2006 161 1 2
5 19562 155 12 7
6 19351 154 12 7
9 1879 151 0 2
5 2241 152 1 2
3 1838 153 1 2
4 2176 153 1 2
4 2115 152 1 2
4 1805 154 1 2
3 2371 152 1 7
12 2162 150 1 2
6 29641 155 17 12
4 19712 156 12 6
3 19446 158 12 6
10 2177 152 1 2
4 1891 153 1 2
4 2267 155 1 2
5 2061 155 1 2
6 1769 151 1 2
