EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
187 205985 33 351 505
92 38422 41 7 101
26 17774 37 1 42
59 34550 48 2 62
109 20214 56 160 21
35 27338 57 44 42
9 1957 72 12 13
20 3350 57 24 45
14 11932 56 17 35
4 1573 57 9 5
80 27441 61 113 46
113 8182 55 146 93
3 1415 54 7 6
11 11404 59 18 34
12 10427 60 15 7
3 1063 60 1 2
4 1438 62 1 3
4 1127 57 1 3
3 10921 63 1 3
5 921 72 1 2
4 4289 57 1 3
19 10790 70 26 24
6 3153 61 11 16
57 22778 82 80 17
26 13655 81 24 35
5 4209 84 10 6
53 33337 75 93 101
3 7418 80 1 5
97 6679 82 116 123
6 3399 68 10 6
6 4641 68 17 4
6 4447 68 9 4
4 6767 69 1 3
3 852 71 1 3
2 1424 66 1 4
3 8007 69 1 2
9 4422 73 14 5
5 996 71 1 3
6 5124 71 12 11
4 1263 73 2 4
5 1139 69 1 2
5 989 71 1 2
9 3922 72 14 6
5 984 74 1 2
5 3512 78 3 3
5 1035 67 1 3
5 906 69 1 3
5 1341 71 1 9
4 1695 68 1 3
5 1158 74 1 3
4 1988 74 10 9
13 6046 76 15 10
5 2770 77 11 10
9 8935 78 16 7
9 2577 68 1 4
3 8786 77 1 3
5 2112 75 8 5
2 1657 67 1 5
11 5514 83 14 5
19 19408 74 25 21
2 14623 75 1 21
9 6778 85 23 6
29 11461 73 26 5
3 3341 88 1 6
3 1845 93 7 7
8 1585 87 1 2
5 810 85 1 2
4 1310 77 1 4
5 912 93 1 3
6 990 82 1 2
4 905 68 1 2
3 844 71 1 2
5 5063 67 9 7
3 2564 87 1 17
13 6974 82 16 6
8 3314 74 9 7
5 1001 74 1 3
5 844 75 1 3
8 7271 72 11 12
6 1027 72 1 2
72 1032 71 13 12
8 2233 69 9 10
6 895 69 8 7
3 1831 69 7 5
3 2479 66 1 4
4 2342 75 1 8
10 3530 88 18 5
5 1123 86 1 4
11 8489 77 16 20
3 1059 97 1 3
5 1195 88 1 3
4 1765 87 1 2
4 1253 90 1 2
5 730 72 1 2
5 768 70 1 3
5 739 69 1 2
4 2111 70 1 3
5 897 70 1 3
4 985 74 1 2
3 2897 74 1 2
14 12137 90 29 27
5 2689 87 1 2
5 901 86 1 2
8 7518 94 24 9
14 10020 83 14 15
6 1179 80 1 3
4 1072 79 1 3
6 8312 89 17 17
5 2342 79 10 8
4 1336 79 10 8
13 2427 78 7 8
9 1615 94 9 10
3 1168 80 1 5
4 3496 81 1 3
5 1934 89 1 2
5 2412 78 1 3
5 2417 93 1 3
2 1786 85 1 2
9 2607 103 1 3
5 1701 101 2 4
7 1292 98 1 2
4 926 84 1 2
8 5187 80 13 6
4 3558 78 7 12
3 911 92 1 3
9 5231 85 13 14
3 1262 79 1 5
6 3115 81 9 7
5 3423 79 9 12
4 1406 82 1 3
7 2200 78 7 8
4 778 81 1 4
4 1296 78 1 2
3 1158 84 1 2
6 2476 81 8 6
5 1251 85 1 2
5 1915 82 1 3
4 4488 81 1 2
6 1659 80 1 3
5 1528 83 1 2
14 9676 82 16 21
8 7266 82 12 6
6 6412 94 9 11
13 1302 81 10 7
6 908 80 1 2
14 1179 82 1 3
14 1119 86 1 2
4 753 80 1 3
19 1257 96 8 9
5 688 82 1 3
3 796 82 1 3
3 685 80 1 2
5 1058 80 2 5
6 938 105 1 3
22 3481 84 1 3
12 1129 79 1 3
5 1001 80 1 2
3 2521 84 1 7
3 1302 84 1 2
4 1524 82 1 2
4 3724 81 10 7
3 764 82 1 2
2 862 79 1 2
4 1652 84 8 5
6 2316 79 10 7
4 2000 78 8 5
8 1453 75 7 5
5 3732 74 7 7
4 1082 75 1 2
3 1759 76 1 2
7 3112 84 8 5
4 1454 81 1 2
3 1610 82 2 3
7 2278 84 1 2
2 4256 80 1 2
3 2520 98 1 3
10 8062 86 14 11
7 4801 81 1 2
10 8405 76 9 12
3 4368 82 2 4
4 1800 81 1 3
4 2966 83 1 4
4 1823 80 1 4
3 5529 82 1 6
3 2342 82 1 2
9 4438 76 11 7
4 2543 77 9 5
3 2794 76 8 7
3 2174 74 1 4
5 1629 74 1 4
4 2860 86 1 3
4 1458 84 1 2
5 1907 82 1 2
5 1274 81 1 3
3 1521 80 1 2
4 2362 82 1 2
4 2288 81 1 3
7 1655 86 10 5
2 2394 86 1 3
6 1416 86 1 3
6 880 86 1 2
6 3474 77 10 13
6 4033 84 9 7
10 6061 82 12 15
6 1278 82 12 8
2 1341 84 1 3
3 1282 86 1 2
10 3153 86 13 5
5 1341 82 1 4
6 1547 83 1 2
5 910 83 1 2
8 1259 87 2 5
349 6423 87 182 80
81 1795 90 37 402
13 4642 90 17 14
6 3846 88 11 9
5 912 86 1 2
3 2332 87 9 9
4 1941 87 10 7
2 1267 84 2 4
5 822 85 1 2
6 2802 85 7 8
3 1976 84 1 2
4 3075 85 1 3
7 895 87 1 2
8 1206 96 1 2
6 1675 88 1 2
4 2111 87 8 5
4 2248 85 11 7
7 2002 85 1 3
3 3613 85 1 3
6 1577 88 1 2
3 2019 85 1 2
3 4206 85 7 5
5 926 89 1 2
8 1193 106 1 3
8 1359 88 1 2
5 951 86 1 2
3 3895 90 8 7
3 2646 91 8 5
2 2980 87 1 2
5 1606 87 1 7
5 1054 87 1 3
5 1469 88 14 28
2 1414 87 1 2
4 1278 85 1 5
7 5774 90 10 12
7 728 86 1 3
5 1482 88 1 3
3 2189 88 1 4
4 745 88 1 2
6 884 86 1 2
3 1488 90 1 3
19 2193 85 8 5
10 2333 86 1 2
3 2769 88 1 2
3 1136 84 1 3
4 905 85 1 8
7 1119 87 2 5
16 859 90 1 2
5 882 86 1 2
6 857 88 1 3
7 808 90 1 2
5 1676 91 1 11
3 1571 86 1 3
5 945 88 1 2
3 4073 87 12 7
6 5696 91 23 7
8 2540 97 1 2
5 3962 87 12 11
4 1362 85 7 5
3 2112 90 1 3
7 1373 89 8 12
6 714 90 1 2
5 793 84 1 2
5 897 77 1 10
6 679 76 1 2
7 1306 96 10 6
5 1075 77 1 3
3 2190 77 1 3
6 1340 82 1 2
2 1450 78 1 9
4 1626 90 1 3
4 969 87 1 3
3 1317 87 1 2
12 1572 86 1 3
6 874 85 1 2
9 1230 86 1 3
10 878 92 1 3
5 904 90 1 2
4 532 89 1 1
2 1569 87 1 3
6 941 91 1 3
3 3132 88 10 7
3 1594 81 1 2
26 1218 81 11 24
14 865 86 8 9
7 3319 81 8 7
2 1909 81 1 4
3 1447 81 1 3
3 1345 81 1 5
3 3506 96 9 7
3 1332 93 1 3
6 945 92 1 2
7 2281 93 1 2
4 3220 92 8 7
14 1037 108 9 17
