RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
43 85 54 45 63 54 53
41 153 55 42 63 54 61
45 67 55 43 63 53 62
42 75 53 36 63 53 59
41 77 55 43 63 53 55
45 114 53 44 63 53 52
45 92 55 48 63 53 52
41 80 55 45 63 53 60
41 77 55 46 63 53 54
44 121 55 40 63 53 51
44 121 53 37 63 53 49
45 103 55 44 63 53 41
42 139 53 37 63 53 51
39 170 53 45 63 53 60
42 82 55 42 63 53 53
42 63 55 45 63 53 47
39 79 53 43 63 52 55
39 78 52 42 63 52 47
38 56 52 43 63 52 59
46 218 52 45 63 52 62
41 116 52 41 63 52 62
42 77 52 38 63 52 60
41 81 52 45 63 52 54
44 53 52 39 63 52 52
49 115 52 41 63 52 49
43 72 52 43 63 52 44
42 91 52 37 63 52 59
41 62 52 50 63 52 57
40 58 52 38 63 52 53
42 79 52 40 63 52 61
49 61 52 39 63 52 57
42 69 52 36 63 52 58
38 74 50 44 309 50 63
40 111 50 46 309 50 53
38 62 50 36 309 50 39
41 97 50 45 309 50 61
45 67 50 38 309 50 61
39 65 50 38 309 50 55
38 54 50 45 309 50 53
37 71 49 37 309 49 41
41 52 49 39 309 49 48
37 64 49 34 309 49 50
39 120 49 41 309 49 50
39 112 49 31 309 49 52
39 74 49 39 309 49 59
38 106 49 45 309 49 63
40 60 49 43 309 49 58
41 84 49 39 309 49 39
41 157 49 36 309 49 53
39 103 49 33 309 49 61
42 63 49 41 309 49 52
42 74 49 38 309 49 61
41 68 49 38 309 49 55
42 121 49 41 309 49 46
38 56 49 39 309 49 45
38 138 48 36 309 47 50
40 59 47 41 304 47 56
33 60 47 34 304 47 60
35 161 47 34 304 47 48
38 76 47 34 304 47 59
42 59 47 41 304 47 56
42 65 47 35 304 47 47
38 58 47 37 304 47 49
39 110 47 34 304 47 54
34 49 47 39 304 47 61
37 83 47 40 304 47 55
41 88 47 34 304 47 63
38 76 47 43 304 47 53
39 52 47 44 304 47 55
39 55 47 41 304 47 63
39 39 47 39 304 47 63
34 142 47 37 304 47 42
36 43 47 36 304 47 48
37 74 47 37 304 47 63
39 92 47 37 304 47 55
39 79 47 41 304 47 57
37 92 47 36 304 47 54
34 62 47 40 304 47 52
37 48 47 39 304 47 42
42 79 47 38 304 47 49
38 114 47 39 304 47 39
37 119 47 42 304 47 46
37 80 47 37 304 47 59
39 88 47 36 304 47 58
38 59 47 39 304 47 62
39 56 47 35 304 47 63
35 75 47 45 304 47 60
43 43 47 35 304 47 53
37 57 47 32 304 47 44
41 59 47 41 304 47 48
39 134 47 38 304 47 63
38 107 47 38 304 47 39
36 81 47 40 304 47 40
