RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
4800 782 500 5574 214575 3155 38166
5227 911 493 5884 187948 3144 31150
4776 741 499 5864 208340 5579 59861
5467 869 494 7408 204607 4109 34497
5202 765 507 6552 205373 4007 34053
4963 843 521 5842 190636 4982 32311
4896 752 504 5610 184634 4079 33839
7826 1073 502 6704 249384 4007 28418
5198 807 508 5835 187362 4664 28836
4330 782 504 6726 191399 6912 28497
4941 910 517 5671 185593 6944 29346
5311 981 509 8530 188638 4944 27774
4264 891 497 5687 183401 6676 30980
4957 674 507 6271 200421 7641 38849
5279 770 572 5531 200363 8532 32103
4849 824 509 5858 183174 7580 27059
4984 901 505 5720 212739 9278 57594
4946 733 511 5576 315645 9950 138529
9249 753 511 7380 214934 9380 34245
4994 879 510 5794 191945 8549 37317
4978 865 507 5682 184353 11163 28093
4350 832 513 5602 177163 9744 26289
4827 803 488 5528 180034 9008 32691
4763 747 491 5580 187523 5771 39808
4181 725 495 4768 276352 9953 127795
4874 777 512 5788 233996 5809 84914
4696 801 495 5551 236131 9958 81857
4862 773 495 5394 173763 7374 26378
4807 772 491 5526 180764 11171 27508
4241 736 512 5784 176366 8215 26845
4068 739 500 5399 174677 10828 26486
4208 717 493 5546 173545 8322 25906
5170 746 488 5691 416950 11913 278983
4848 677 489 5565 233859 8302 103821
4949 713 489 4990 232025 11761 101479
4887 779 495 5609 234425 8333 101841
4846 787 490 5498 156413 11826 26552
4786 829 497 5491 160805 11247 29134
4515 852 518 7082 162755 13563 26811
4836 660 494 5795 378318 10785 246956
4880 764 501 4912 171680 14511 38807
4866 730 496 5684 167105 10943 36786
4811 740 499 5643 169667 14471 38939
4348 756 493 5601 166072 10934 36076
4335 830 493 5778 166887 14557 35740
4250 724 496 5640 165981 11017 35401
4282 769 496 5597 165916 14634 34227
5023 917 496 4944 163559 11874 33327
4822 872 501 5601 172552 16424 37257
5743 838 524 5212 169998 11622 32118
4420 789 513 5738 173680 15375 33242
5035 759 519 5898 166474 12479 32062
4370 801 517 5896 167587 16481 28523
5008 779 517 5802 168350 12693 29007
5112 819 520 5847 166012 16347 27983
4438 796 525 6074 652348 13437 509419
5036 797 517 5822 712532 18113 388000
5111 766 522 5961 347994 14972 30026
5210 807 522 5985 508241 19047 185526
5105 764 518 5949 363669 15760 46481
4578 936 519 5092 345464 19879 28619
4490 808 546 5227 350918 16741 29154
5009 788 519 5204 346017 18532 29229
4445 870 531 6021 346473 15407 31309
5314 806 526 5399 364091 19948 32131
5476 806 647 6044 350163 15595 28753
4576 974 527 6049 350990 19482 28969
5112 816 518 5962 344806 15645 28889
5143 778 518 5956 343917 22025 30330
4702 912 793 5274 360675 15751 28926
5122 876 524 5320 343545 19781 28765
4940 681 520 5987 347308 15808 31525
5107 859 527 5107 343147 20076 28565
5210 740 525 5220 343781 16020 28755
5139 719 530 5893 342720 20092 28376
5013 887 525 5202 342908 16018 28193
5135 810 530 6003 350486 20236 28539
5209 744 530 5161 343611 16152 28396
5136 821 532 6121 358320 20365 37800
4493 828 530 6043 345835 16147 31895
5170 824 533 6079 342174 20476 28301
5068 827 532 6047 346957 16242 32452
5078 958 535 5178 342408 20594 28664
4466 859 529 5337 347646 16533 28140
5021 908 534 5971 343499 20666 28393
4342 876 534 6082 342680 16570 28343
5213 813 537 6031 342798 23929 28541
4955 868 537 5955 343350 23518 28411
5183 746 532 5257 345815 24066 31443
5082 1010 534 6010 349199 20764 32666
5079 769 556 6151 344929 29928 28431
5155 960 554 6166 342437 24747 28054
4990 936 528 5263 346828 30814 32630
4644 840 533 5375 342615 27108 28778
5077 704 531 6110 342422 30971 28567
4621 817 533 5455 343099 24668 28799
5114 934 541 6196 342730 31891 28348
5008 801 534 5966 343208 27228 28986
4563 846 550 5301 349743 30217 35408
5050 847 538 6238 342288 23932 28806
4443 759 537 6126 342935 27713 28463
4686 835 541 5263 347138 25651 33378
4639 814 540 5973 353940 28271 31387
5260 786 575 6958 356598 25719 31634
5101 724 534 6163 344436 28116 28493
5079 970 720 7190 349365 28666 31367
5108 906 536 6001 341980 31766 28426
4950 756 542 5956 342920 27622 28629
5302 767 543 5404 341895 29861 28505
5049 747 537 6113 345587 27805 31627
5083 784 546 6099 342116 30909 28188
5079 713 535 5474 342422 27054 28568
5187 747 546 6135 349930 32005 28494
4921 821 543 6206 343875 29788 28860
4978 843 542 5991 346612 22212 28339
4451 860 545 5413 345365 17992 31430
5141 853 545 6139 343885 22551 28801
5204 936 542 5446 342290 19491 28396
4519 916 544 6032 346569 23851 32215
5024 822 537 6025 348000 19777 29003
5299 914 540 5463 342147 25717 28173
5101 786 538 5413 342829 19994 28503
5140 835 547 5294 342955 25933 28432
5190 927 567 6103 342474 21370 28783
5171 774 549 6356 343915 25283 28519
5197 765 552 6203 345860 23212 29680
5130 772 547 6177 344803 27759 30064
5125 740 546 5381 352306 21504 32505
5044 739 551 5303 342913 26557 28688
5097 864 549 6358 342593 24006 34703
5182 818 560 6368 342577 28611 28840
5285 861 560 5447 352892 22513 29370
4525 877 549 5557 351574 26743 36780
5143 931 551 6104 346307 22219 28646
4510 795 568 6444 515774 29527 61448
5087 1087 551 5413 393913 23230 66515
5193 890 622 5890 396602 32143 44515
5788 806 557 6732 422838 23709 29501
5206 876 549 6227 358109 29099 29970
5202 810 550 6368 365889 25731 42558
5575 822 635 5867 426498 54569 49395
5159 859 558 7470 803321 27685 449184
5061 878 549 6247 350548 29254 32390
5143 781 550 5476 347445 33111 30603
5326 821 551 6235 353105 31009 29568
5168 762 550 5429 404589 26561 30570
5085 858 559 6186 362659 31955 29678
4983 970 555 7350 392137 25403 43826
5155 854 568 6325 360742 33047 28720
4586 750 669 6563 354258 31192 29080
6865 1146 573 11783 388567 33130 42683
5303 881 611 5667 363606 24372 39815
5276 775 560 5734 547769 30673 44261
5211 947 606 6399 356980 28015 28823
5301 777 554 5431 353702 33085 32449
5133 777 562 6490 390699 28832 31340
5357 964 577 9776 356845 33383 35849
5175 1061 563 5459 373983 28437 29045
5035 965 554 6348 351987 31818 32891
4914 931 565 6514 357210 26341 33526
5223 979 560 6257 347147 31262 29578
5612 772 559 6369 345942 26491 29079
5083 790 575 6363 356467 32104 37305
4490 802 558 5508 348387 27518 29217
5348 788 557 5507 364919 32482 41890
4461 915 566 6233 346207 27539 28910
5151 756 556 5565 349117 32616 31491
5154 748 562 6161 1121205 33383 810440
5236 916 561 6320 623607 44370 316446
5355 915 574 6544 697237 27850 297885
5075 957 569 5624 820085 34731 488804
5102 979 571 6293 374636 29557 43391
4579 827 556 6267 363180 34845 36215
5030 770 562 6549 358611 31287 33223
5415 654 563 5565 358737 34741 33113
5236 789 557 6398 354729 31922 30116
5475 914 567 5598 356666 35716 30175
5251 838 556 6310 354083 33540 30105
5345 814 565 6274 353039 38832 28925
5174 837 560 6358 845970 34404 504034
5079 741 568 5461 638055 41340 309071
5105 899 568 6479 625985 33954 289443
4989 936 566 6334 359328 43439 30929
5087 854 615 7063 370890 37299 37131
5364 1310 688 7088 433879 52142 58768
7010 1342 631 7175 392388 36657 31868
4668 837 575 6311 361793 41827 29266
5181 828 562 5598 400351 50249 35926
12295 975 725 8120 1304579 42269 891412
4701 989 570 6222 670779 36347 328983
5142 922 564 5647 687785 41718 329825
5286 915 571 5491 680772 36760 328698
5410 845 588 6868 384356 41656 31329
5093 747 571 6544 369447 36840 32762
5260 958 576 6614 376158 42369 37050
5158 888 570 6460 368901 38741 33832
5245 870 566 6827 377827 44749 34814
5181 911 573 6496 371560 40137 31529
5562 1038 571 5773 370623 43740 31461
4495 848 566 6918 367659 38277 30255
5315 1006 576 6623 1265987 45501 934928
5395 719 569 6733 376422 41626 30927
4988 886 575 6497 382089 49027 48859
5259 927 567 6567 375775 37982 32591
5163 729 580 5783 372176 43350 30853
5389 714 569 6461 2313047 38224 1920580
5214 877 567 6500 738206 43931 374360
4539 877 574 6509 759133 39901 387246
5295 756 3181 8865 400553 44288 33290
4720 840 577 6702 412361 39449 51921
5287 831 608 6824 1009181 53568 702253
9131 1071 607 8125 805113 41041 394627
5399 828 574 6560 410336 74333 47933
7815 4040 1202 7235 460764 41114 47404
5236 897 588 6440 454404 49317 89297
7230 1564 874 9462 411417 43334 37456
5364 813 600 6510 1021747 48521 686086
4489 729 589 6734 424430 43451 52336
5319 1128 588 6095 740490 49758 362645
5172 894 601 6613 745574 44618 371948
4559 916 607 5848 406175 51071 37530
5405 766 584 7537 423732 44537 37272
5138 832 577 6849 399930 52060 32642
5249 1013 581 6360 399398 45510 35956
5639 782 583 6696 400091 51975 32843
5207 1314 579 6378 399150 46386 32241
5170 806 599 6991 400038 57579 32980
6175 996 588 6763 412346 46843 37548
5745 934 605 6924 420309 66751 42550
5890 1085 595 9443 445097 56359 42323
6181 899 601 6778 418010 54577 34100
5197 824 578 6534 410359 47657 36255
5385 1084 589 6141 432652 54683 34661
4698 821 603 6758 418174 46757 33659
4705 1135 590 6854 409660 55232 33246
5222 1004 590 6543 403446 48641 34411
5159 1096 612 5936 409100 53727 33383
5202 815 605 6771 404311 47721 33455
5394 773 585 6818 413813 55207 33689
5547 750 583 6695 415305 49409 34525
5486 901 627 6601 419742 56908 40504
5066 815 609 5919 405459 50163 32780
4928 753 583 6613 400404 56126 33916
5153 815 596 6849 401553 49608 35380
5307 808 588 7055 408632 54624 33520
5257 1094 592 6447 402541 48786 33117
5197 783 590 6494 402891 59087 35217
5800 863 666 6669 438419 49412 39909
5248 902 592 6945 404939 57958 33720
5284 863 608 6920 402541 50724 33659
6228 974 596 6830 405582 57398 33835
5144 937 605 6909 408012 51559 34693
5287 992 591 6598 442285 58834 36230
5145 1098 815 7196 425772 52485 38367
5138 825 610 6452 406235 59022 42662
5190 840 587 6768 443940 52476 35751
5698 989 610 6771 401351 58148 33166
5657 1026 591 6726 412713 52437 37318
5175 898 598 6969 407801 58803 36299
4901 807 614 6791 1839939 59487 1313743
4806 871 601 6516 819578 62609 449473
5444 810 614 6103 839484 53443 451540
5514 962 617 6671 856873 62375 454656
4824 943 639 7115 436170 54863 37351
5066 919 605 6833 1377889 72199 971522
5954 995 714 8496 458203 55383 39333
5549 849 616 6710 433429 61266 40093
5518 806 620 6639 5234527 59816 4832032
5506 937 612 6670 483632 63921 44198
5368 944 641 6918 496993 56984 42046
5294 955 642 6988 464484 62706 39929
5471 788 638 6988 1616340 59327 1228603
5366 959 619 7023 3139185 75185 2887914
5404 1016 692 7016 6488576 58376 5679490
5594 904 655 6150 711937 64319 156374
5423 770 660 6237 624893 60724 85018
5825 1094 683 7095 1005497 72546 429862
7295 802 695 6995 638268 65959 68013
7585 1278 719 6219 647111 68785 67443
5228 814 696 6309 602231 64730 52502
5713 804 655 7912 6458423 68923 5878456
4577 893 632 7946 819307 78508 152740
6690 915 692 8007 1134157 91706 108355
5659 1058 690 8635 730151 65193 63222
5851 1140 629 7008 725947 69556 71188
4496 768 639 6974 843718 68640 112468
4765 877 682 7577 1404872 75135 605127
5946 910 716 8429 1516752 83765 754572
9733 993 3496 8386 1578329 70911 616835
6271 737 638 7211 887657 67955 100307
6676 1063 1001 6960 799974 77423 80807
4301 1129 731 7365 1404262 67939 593607
5678 984 638 6440 749741 70159 61459
5344 1220 644 5925 738679 75789 76978
5378 1181 672 7448 754975 70207 80277
