RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
12 33 16 13 15 16 15
12 14 16 13 15 16 12
12 21 12 15 15 12 13
12 17 11 11 15 10 12
12 30 11 11 15 10 11
11 29 10 9 15 10 13
12 13 11 10 15 10 12
10 19 11 11 15 10 10
12 18 10 11 15 10 15
10 40 11 10 15 10 13
11 18 10 11 84 10 15
10 43 10 11 83 10 15
11 17 10 10 83 10 15
11 18 11 11 83 10 15
9 25 10 10 83 10 14
11 22 10 10 83 10 13
9 20 10 11 83 10 13
9 13 11 8 83 10 14
11 15 12 10 60 9 13
9 14 9 11 60 9 14
10 32 12 9 60 9 13
9 15 12 10 60 9 15
10 21 12 11 60 9 15
8 18 11 10 60 9 13
10 11 12 9 23 11 12
10 23 11 11 23 11 14
10 10 11 10 23 11 13
9 15 11 9 23 11 14
8 9 12 9 23 11 15
9 18 10 10 23 11 15
9 10 12 9 23 11 12
9 22 11 11 23 11 15
10 20 12 9 23 11 14
8 15 12 9 23 11 11
10 14 12 7 23 11 11
9 9 11 9 23 11 13
10 22 11 9 23 11 13
7 22 12 7 23 11 15
8 21 10 9 23 10 13
9 12 10 9 23 10 12
8 21 10 9 23 10 11
7 15 10 9 23 10 14
7 11 9 9 23 10 12
8 12 9 7 23 10 12
7 8 9 7 23 10 10
8 17 9 8 23 10 11
7 14 10 9 23 10 12
8 8 10 9 23 9 15
9 11 10 9 23 9 13
7 17 10 9 23 9 10
8 12 10 9 23 9 13
7 9 10 9 23 9 13
9 11 10 9 23 9 14
8 12 10 11 23 9 15
7 10 9 8 23 9 13
8 16 9 7 23 9 13
8 18 9 8 23 9 15
8 7 10 7 23 9 13
8 21 10 9 23 9 11
7 11 9 8 23 9 14
7 17 10 8 23 8 12
7 16 9 7 23 8 15
7 17 10 9 23 8 11
7 14 9 7 23 8 11
8 9 9 7 23 8 15
8 22 8 7 23 8 10
7 21 9 9 23 8 12
7 22 10 7 23 8 12
7 20 9 9 23 8 10
7 16 8 7 23 8 12
8 15 8 7 23 8 11
8 18 8 9 23 8 12
7 12 9 7 23 8 14
7 21 9 7 23 8 15
8 10 7 7 23 8 14
7 14 8 7 23 8 12
7 13 8 8 23 8 13
7 12 9 8 23 8 15
7 23 8 7 23 8 13
8 21 8 6 23 8 15
6 15 7 7 23 8 12
8 14 9 7 23 8 13
7 21 8 7 23 8 11
7 21 9 8 23 8 15
7 7 9 7 23 8 15
7 12 7 7 23 8 13
7 12 7 7 23 8 15
7 12 8 9 23 8 15
7 13 8 7 23 8 13
7 18 7 7 22 8 15
8 11 7 7 22 8 11
7 18 8 6 22 8 13
7 20 7 7 22 8 15
7 12 8 7 22 8 13
6 11 7 7 22 8 11
7 12 8 7 21 7 14
6 9 7 7 21 7 15
8 19 7 7 21 7 15
7 16 7 5 21 7 15
6 9 7 7 21 7 14
6 16 7 7 21 7 13
8 13 7 7 21 7 11
6 9 7 5 21 7 11
6 9 7 7 21 7 10
7 16 7 7 21 7 11
6 9 6 7 21 7 9
6 10 7 7 21 7 9
5 18 7 7 21 7 12
6 9 7 7 21 7 11
5 8 7 7 21 7 13
6 8 7 7 21 7 10
6 12 7 7 21 7 11
6 8 7 7 21 7 13
7 20 7 7 21 7 12
6 11 7 7 21 7 12
7 13 7 7 21 7 11
6 8 7 7 21 7 13
6 17 7 7 21 7 10
6 15 7 7 21 7 10
5 16 8 6 21 7 10
6 9 7 7 21 7 15
6 10 7 7 21 7 9
6 9 7 7 21 7 11
6 16 7 7 21 7 9
5 16 7 7 21 7 13
5 9 5 5 21 7 12
6 8 7 6 21 7 10
6 15 7 5 21 7 9
5 15 6 6 21 7 11
5 8 5 7 21 7 11
6 11 5 6 21 7 15
5 15 7 7 21 7 12
6 16 6 5 21 7 14
6 8 6 6 21 6 10
6 8 7 7 21 6 10
5 8 6 7 21 6 9
6 19 6 5 21 6 9
7 18 7 5 21 6 10
5 14 6 7 21 6 10
6 8 5 5 21 6 10
5 9 7 5 21 6 11
5 14 6 5 21 6 10
5 8 7 5 21 6 11
5 17 6 7 21 6 11
5 17 6 7 21 6 8
5 13 6 5 21 6 8
6 17 5 5 17 6 11
5 12 6 5 17 6 9
5 15 6 5 17 6 8
5 11 6 5 17 6 9
5 6 6 5 17 6 9
5 17 6 5 17 6 15
6 17 6 5 17 6 9
5 10 5 7 17 6 10
5 6 6 5 17 6 9
5 15 5 7 17 6 12
6 15 6 5 17 6 9
6 8 6 5 17 6 8
5 12 6 5 17 6 9
5 15 6 5 17 6 8
6 18 6 5 17 6 15
6 9 6 5 17 6 11
4 16 5 5 17 6 9
4 13 6 5 17 6 8
5 17 6 7 17 6 9
6 6 5 5 17 6 9
5 9 6 7 17 6 12
6 17 6 5 17 6 8
5 18 6 7 17 6 10
6 15 5 5 17 6 14
5 7 5 5 17 6 9
4 15 6 5 17 6 10
5 7 6 5 17 6 8
4 13 6 5 17 6 8
5 7 5 5 17 6 9
6 16 6 6 17 6 8
5 15 6 7 17 6 8
6 17 6 5 17 6 8
6 16 6 5 17 6 8
6 18 6 5 17 6 9
5 15 6 5 17 6 8
6 16 6 5 17 6 9
6 9 6 5 17 6 13
5 17 6 5 17 6 9
5 9 6 5 17 6 15
5 7 6 5 16 6 8
5 9 6 5 16 5 9
6 14 5 5 16 5 9
5 8 6 5 16 5 8
5 16 5 5 16 5 10
4 7 6 7 16 5 9
4 16 6 5 16 5 9
5 6 6 5 16 5 10
5 16 5 5 16 5 15
5 17 6 5 16 5 9
6 19 6 5 16 5 9
5 16 5 5 16 5 12
5 6 5 5 16 5 8
4 6 6 5 16 5 8
5 8 6 5 16 5 13
5 16 6 5 16 5 10
4 6 5 5 16 5 8
5 16 6 5 16 5 9
5 5 6 5 16 5 8
5 8 6 6 16 5 8
5 6 5 5 16 5 8
4 7 6 5 16 5 13
5 16 6 5 16 5 9
5 9 5 5 16 5 8
4 10 5 5 16 5 10
4 6 6 5 16 5 8
5 13 5 4 16 5 8
5 6 6 5 16 5 8
4 12 5 5 16 5 9
4 17 5 5 16 5 9
4 8 6 5 16 5 8
4 17 5 5 16 5 8
5 17 5 5 16 5 8
5 10 5 5 16 5 8
5 6 6 5 16 5 8
5 17 5 5 16 5 8
5 7 5 5 16 5 8
5 12 6 5 16 5 8
4 16 6 5 16 5 15
5 7 5 5 16 5 8
5 6 6 5 16 5 8
5 8 6 5 16 5 8
4 15 6 5 16 5 14
5 6 5 5 16 5 8
5 11 5 5 16 5 9
5 13 5 5 16 5 8
5 14 6 5 16 5 8
4 16 6 5 16 5 8
5 8 6 5 16 5 8
4 7 5 4 16 5 8
4 8 5 5 16 5 10
4 6 5 5 16 5 9
4 12 5 5 16 5 14
4 7 5 5 16 5 9
4 17 6 4 16 5 9
5 6 5 5 16 5 9
4 4 5 5 16 5 8
4 16 5 5 16 5 8
4 6 5 5 16 5 8
5 13 5 5 16 5 8
3 8 5 5 16 5 8
5 7 5 5 16 5 8
5 10 6 5 16 5 8
4 16 5 5 16 5 8
4 6 5 5 7 5 8
4 7 5 5 7 5 11
4 7 4 5 7 4 10
5 7 4 5 7 4 9
4 5 5 5 7 5 7
4 4 5 5 7 5 10
4 5 5 5 7 5 8
4 6 5 5 7 5 10
4 7 5 5 7 5 9
5 7 5 5 7 5 8
4 5 5 5 7 5 8
4 7 5 5 7 5 8
5 6 5 5 7 5 9
5 5 5 5 7 5 6
5 6 5 5 7 5 8
4 6 5 5 7 5 9
4 5 5 5 7 5 9
4 5 4 5 7 5 6
4 7 4 5 7 5 7
4 7 4 5 7 5 8
4 6 5 5 7 5 8
4 6 4 5 7 5 8
3 8 5 5 7 5 9
5 7 4 5 7 5 7
4 6 4 5 6 5 7
3 6 5 5 6 5 8
3 5 4 5 6 5 7
4 5 4 5 6 5 6
4 4 4 5 6 5 6
4 6 4 5 6 5 6
4 5 4 5 6 5 6
4 5 4 5 6 5 7
4 6 4 5 6 5 8
4 6 5 5 6 5 7
4 6 4 5 6 4 6
4 6 4 5 6 4 5
