1 2 3
1 3 7
1 4 2
1 5 2
1 6 5
1 7 12
1 8 2
1 9 16
1 10 8
1 11 6
1 12 5
1 13 4
1 14 2
1 15 15
1 16 1
1 17 10
1 18 3
1 19 18
1 20 1
1 21 13
1 22 7
1 23 4
1 24 1
1 25 2
1 26 5
1 27 4
1 28 2
1 29 15
1 30 10
1 31 5
1 32 4
1 33 2
1 34 5
1 35 9
1 36 2
1 37 2
1 38 1
1 39 13
1 40 11
1 41 9
1 42 3
1 43 1
1 44 3
1 45 1
1 46 5
1 47 5
1 48 4
1 49 2
1 50 4
1 51 4
1 52 3
1 53 1
1 54 16
1 55 8
1 56 5
1 57 12
1 58 4
1 59 7
1 60 1
1 61 4
1 62 5
1 63 8
1 64 7
1 65 6
1 66 4
1 67 4
1 68 5
1 69 1
1 70 4
1 71 4
1 72 1
1 73 7
1 74 3
1 75 4
1 76 3
1 77 12
1 78 9
1 79 3
1 80 3
1 81 11
1 82 8
1 83 1
1 84 10
1 85 1
1 86 11
1 87 4
1 88 9
1 89 4
1 90 3
1 91 3
1 92 8
1 93 4
1 94 1
1 95 16
1 96 8
1 97 3
1 98 2
1 99 5
1 100 3
1 101 3
1 102 4
1 103 8
1 104 7
1 105 9
1 106 2
1 107 2
1 108 6
1 109 5
1 110 4
1 111 8
1 112 2
1 113 2
1 114 10
1 115 2
1 116 2
1 117 1
1 118 1
1 119 6
1 120 7
1 121 2
1 122 4
1 123 6
1 124 1
1 125 14
1 126 1
1 127 9
1 128 3
1 129 2
1 130 3
1 131 2
1 132 2
1 133 2
1 134 1
1 135 5
1 136 1
1 137 1
1 138 5
1 139 8
1 140 8
1 141 3
1 142 4
1 143 4
62 4 20
62 144 1
62 5 10
62 6 4
62 7 4
62 8 1
62 145 1
62 73 6
62 10 3
62 11 2
62 12 25
62 13 3
62 146 1
62 14 19
62 15 6
62 16 18
62 17 1
62 18 16
62 19 6
62 20 3
62 21 1
62 22 11
62 23 1
62 24 1
62 25 2
62 26 4
62 27 7
62 28 2
62 29 1
62 30 1
62 147 7
62 31 9
62 32 1
62 33 9
62 34 19
62 35 2
62 36 14
62 148 2
62 37 19
62 38 1
62 149 14
62 39 1
62 40 2
62 41 29
62 150 2
62 42 2
62 44 11
62 151 1
62 45 1
62 75 4
62 46 4
62 49 7
62 48 5
62 52 7
62 53 2
62 55 1
62 56 5
62 57 11
62 58 7
62 59 11
62 61 1
62 3 1
62 63 14
62 64 8
62 65 10
62 66 7
62 67 3
62 68 1
62 69 1
62 70 1
62 71 1
62 9 2
62 50 3
62 76 6
62 77 5
62 78 6
62 79 1
62 80 1
62 81 3
62 82 2
62 152 27
62 84 3
62 85 8
62 86 5
62 87 19
62 88 4
62 89 2
62 90 12
62 91 8
62 92 35
62 93 6
62 94 7
62 95 32
62 96 8
62 97 1
62 98 1
62 99 2
62 100 3
62 102 3
62 103 6
62 104 13
62 106 1
62 107 1
62 108 8
62 109 16
62 117 4
62 111 13
62 112 2
62 113 1
62 114 3
62 115 10
62 116 3
62 110 1
62 118 15
62 119 4
62 120 1
62 121 5
62 122 2
62 124 7
62 126 8
62 127 24
62 128 16
62 129 20
62 133 4
62 134 18
62 136 1
62 137 2
62 138 2
62 153 3
62 140 8
62 141 5
62 142 10
62 143 6
4 2 4
4 3 3
4 144 3
4 5 9
4 6 1
4 8 2
4 145 2
4 9 3
4 10 1
4 11 1
4 12 31
4 14 7
4 15 5
4 16 18
4 17 2
4 18 10
4 19 9
4 20 8
4 22 6
4 23 1
4 26 2
4 27 10
4 28 4
4 29 3
4 30 3
4 147 13
4 31 15
4 70 4
4 33 6
4 34 7
4 35 1
4 36 7
4 148 2
4 37 17
4 38 2
4 149 8
4 41 13
4 150 4
4 42 1
4 44 1
4 151 2
4 45 1
4 46 6
4 47 1
4 48 2
4 49 4
4 50 3
4 51 1
4 52 14
4 53 1
4 54 1
4 55 6
4 56 7
4 57 13
4 58 4
4 59 20
4 60 1
4 61 3
4 128 15
4 64 15
4 65 2
4 66 4
4 67 3
4 68 2
4 69 3
4 32 5
4 71 3
4 73 15
4 74 2
4 75 1
4 76 3
4 77 1
4 78 4
4 79 1
4 63 6
4 81 2
4 82 3
4 83 4
4 152 10
4 84 6
4 85 5
4 86 5
4 87 14
4 88 1
4 90 15
4 91 15
4 92 22
4 93 2
4 94 8
4 95 43
4 96 1
4 98 7
4 99 3
4 100 1
4 101 1
4 102 2
4 103 1
4 104 19
4 105 5
4 106 3
4 107 1
4 108 17
4 109 17
4 111 16
4 112 7
4 113 2
4 114 1
4 115 2
4 116 7
4 117 4
4 118 8
4 119 2
4 120 3
4 121 4
4 124 7
4 127 16
4 154 2
4 129 19
4 130 3
4 131 1
4 132 1
4 133 7
4 134 7
4 136 3
4 137 2
4 138 6
4 153 1
4 139 1
4 140 19
4 141 1
4 142 8
144 50 5
144 5 3
144 6 9
144 7 2
144 8 7
144 73 5
144 10 15
144 11 3
144 12 8
144 13 2
144 146 1
144 155 2
144 14 3
144 15 5
144 16 8
144 17 12
144 18 3
144 19 9
144 20 6
144 21 2
144 22 5
144 23 1
144 156 1
144 25 6
144 26 1
144 27 11
144 28 13
144 2 6
144 31 5
144 32 3
144 33 9
144 34 3
144 24 4
144 35 5
144 36 6
144 148 4
144 37 3
144 149 5
144 39 6
144 40 10
144 41 8
144 150 5
144 42 5
144 43 3
144 44 6
144 151 6
144 45 6
144 46 3
144 47 9
144 49 1
144 48 12
144 51 6
144 52 4
144 53 3
144 54 4
144 55 5
144 56 8
144 57 3
144 58 4
144 59 3
144 60 2
144 61 5
144 3 3
144 128 7
144 64 9
144 65 8
144 66 8
144 67 6
144 68 4
144 69 3
144 70 7
144 71 10
144 72 1
144 9 1
144 74 5
144 75 15
144 76 2
144 77 3
144 78 4
144 157 4
144 79 7
144 63 5
144 81 4
144 82 6
144 30 3
144 83 3
144 152 5
144 84 6
144 85 5
144 86 2
144 87 6
144 88 10
144 89 4
144 90 6
144 91 2
144 92 7
144 93 7
144 94 2
144 95 10
144 96 7
144 97 1
144 98 6
144 99 5
144 100 3
144 102 1
144 103 6
144 104 10
144 105 5
144 106 4
144 107 6
144 108 4
144 109 1
144 110 15
144 111 5
144 112 2
144 115 3
144 116 2
144 117 12
144 118 6
144 119 5
144 120 6
144 121 7
144 122 1
144 123 1
144 124 2
144 125 3
144 126 10
144 127 4
144 154 2
144 129 2
144 130 7
144 131 2
144 132 1
144 133 3
144 134 2
144 135 2
144 136 1
144 137 4
144 138 9
144 139 6
144 140 4
144 158 1
144 141 3
144 142 6
144 143 9
5 3 9
5 56 19
5 6 5
5 7 8
5 8 4
5 145 4
5 9 3
5 10 7
5 11 2
5 12 16
5 13 3
5 14 15
5 15 10
5 16 8
5 17 4
5 18 13
5 19 13
5 20 13
5 21 1
5 23 2
5 24 1
5 25 5
5 26 11
5 27 15
5 28 3
5 29 4
5 30 4
5 147 20
5 31 11
5 32 7
5 33 8
5 34 7
5 35 2
5 36 15
5 148 13
5 37 27
5 149 14
5 39 3
5 40 3
5 41 32
5 150 5
5 42 6
5 44 7
5 151 3
5 45 2
5 46 8
5 47 1
5 49 22
5 48 6
5 51 3
5 52 25
5 53 2
5 54 2
5 55 6
5 57 16
5 59 10
5 60 5
5 61 4
5 63 14
5 64 7
5 65 5
5 66 4
5 67 2
5 68 8
5 69 4
5 70 4
5 71 10
5 72 1
5 73 14
5 74 4
5 75 3
5 76 5
5 77 6
5 58 13
5 157 3
5 79 1
5 80 1
5 81 8
5 82 3
5 83 1
5 152 10
5 84 15
5 85 4
5 86 18
5 87 13
5 88 13
5 89 1
5 90 20
5 91 19
5 92 41
5 93 4
5 94 23
5 95 24
5 96 15
5 98 5
5 100 2
5 101 2
5 102 6
5 103 10
5 104 19
5 105 8
5 106 3
5 107 3
5 108 19
5 109 22
5 110 4
5 111 23
5 112 13
5 113 2
5 114 5
5 115 10
5 116 9
5 117 22
5 118 7
5 119 5
5 120 5
5 121 8
5 122 12
5 123 5
5 124 18
5 125 3
5 126 6
5 127 19
5 128 11
5 154 2
5 129 24
5 130 1
5 131 4
5 132 5
5 133 6
5 134 6
5 135 1
5 136 6
5 137 3
5 138 7
5 139 4
5 140 18
5 158 3
5 141 2
5 142 30
5 143 5
6 3 8
6 59 15
6 7 8
6 8 4
6 145 3
6 73 5
6 10 2
6 11 10
6 12 12
6 13 8
6 146 4
6 155 3
6 14 8
6 15 13
6 16 6
6 17 3
6 18 6
6 19 24
6 20 6
6 21 5
6 22 1
6 23 1
6 156 1
6 25 2
6 26 3
6 27 9
6 28 8
6 29 3
6 2 9
6 147 9
6 31 6
6 32 6
6 33 11
6 34 1
6 24 3
6 35 3
6 36 11
6 148 15
6 37 2
6 38 2
6 149 8
6 39 9
6 41 4
6 150 4
6 42 11
6 43 3
6 44 3
6 151 8
6 45 3
6 159 2
6 46 13
6 47 5
6 48 8
6 49 5
6 50 1
6 51 5
6 52 4
6 53 4
6 54 6
6 55 8
6 56 20
6 57 6
6 58 12
6 127 10
6 60 2
6 61 9
6 63 11
6 64 12
6 65 7
6 66 4
6 67 4
6 68 8
6 69 6
6 70 8
6 71 10
6 9 5
6 74 3
6 75 10
6 76 12
6 77 9
6 78 5
6 157 4
6 79 3
6 80 5
6 81 6
6 160 1
6 82 9
6 30 3
6 83 2
6 152 9
6 84 3
6 85 11
6 86 4
6 87 8
6 88 8
6 89 3
6 90 9
6 91 4
6 92 28
6 93 14
6 94 11
6 95 11
6 96 4
6 97 4
6 98 2
6 99 4
6 100 11
6 101 2
6 102 6
6 103 3
6 104 13
6 105 14
6 106 7
6 107 10
6 108 10
6 109 11
6 117 12
6 111 8
6 112 3
6 113 10
6 114 16
6 115 6
6 116 6
6 110 2
6 118 4
6 119 4
6 120 4
6 121 10
6 122 1
6 123 2
6 124 8
6 125 1
6 126 12
6 128 11
6 154 4
6 129 8
6 130 1
6 132 4
6 133 8
6 134 6
6 135 9
6 136 2
6 137 7
6 138 7
6 153 2
6 139 6
6 140 7
6 141 3
6 142 7
6 143 10
7 3 7
7 145 6
7 9 1
7 10 7
7 11 9
7 12 2
7 13 5
7 146 5
7 155 9
7 14 1
7 15 5
7 16 1
7 17 4
7 18 1
7 19 35
7 20 2
7 21 6
7 22 1
7 156 12
7 25 4
7 26 1
7 27 9
7 28 4
7 29 4
7 2 20
7 147 4
7 31 1
7 70 6
7 33 2
7 34 5
7 35 2
7 36 1
7 148 1
7 37 3
7 38 1
7 149 4
7 39 15
7 40 1
7 41 2
7 150 6
7 42 5
7 43 3
7 44 5
7 151 1
7 45 3
7 159 12
7 46 4
7 47 8
7 48 5
7 49 4
7 50 4
7 51 5
7 52 5
7 53 10
7 54 12
7 55 8
7 56 6
7 57 4
7 58 10
7 59 6
7 60 6
7 61 7
